#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,459",568,"778,000","15,791,183","49,268 ",Europe,"11,7600",,,"546,744"
164,Lesotho,"34,287",,704 ,,"25,811",,"7,772",,"15,733",323,"431,221","197,871","2,179,299 ",Africa,"643,0965",,,"3,566"
165,Haiti,"33,551",,841 ,,"30,845",,"1,865",,"2,866",72,"132,422","11,312","11,705,828 ",North America,"34913,91988",,,159
166,Mali,"31,998",,739 ,,"30,662",,597,,"1,487",34,"746,896","34,701","21,523,833 ",Africa,"67329,12629",,,28
167,Cayman Islands,"30,214",,29 ,,"8,553",,"21,632",1,"448,239",430,"222,773","3,304,943","67,406 ",North America,"22,3240",,,"320,921"
168,Saint Lucia,"28,894",,391 ,,"28,369",,134,,"155,798","2,108","209,716","1,130,801","185,458 ",North America,64741,,,723
169,Benin,"27,490",,163 ,,"27,217",,110,5,"2,145",13,"604,310","47,152","12,816,193 ",Africa,"46678,62721",,,9
170,Somalia,"27,020",,"1,350 ",,"13,182",,"12,488",,"1,603",80,"400,466","23,751","16,860,933 ",Africa,"62412,49042",,,741
171,Congo,"24,837",,386 ,,"24,006",,445,,"4,272",66,"347,815","59,819","5,814,497 ",Africa,"23415,06317",,,77
172,Timor-Leste,"23,163",,138 ,,"22,981",,44,,"16,867",100,"275,776","200,821","1,373,243 ",Asia,"599,9515",,,32
